港澳台,#genre#
TVBS,http://hls.666888999.gay/iptv.php?key=e2e840c0ea4abd8af71f1a67a553bbe5&id=40
TVBS,http://pull-hls-hs-spe-f5.douyincdn.com/live/twlivezpzovdxzozfdezodszxcvlzzfvhnzlzzzobzzzsvhzchtvbs.flv
TVBS欢乐,http://hls.666888999.gay/iptv.php?key=e2e840c0ea4abd8af71f1a67a553bbe5&id=41
TVBS新闻,http://hls.666888999.gay/iptv.php?key=e2e840c0ea4abd8af71f1a67a553bbe5&id=29
东森财经新闻,http://hls.666888999.gay/iptv.php?key=e2e840c0ea4abd8af71f1a67a553bbe5&id=23
东森新闻,http://hls.666888999.gay/iptv.php?key=e2e840c0ea4abd8af71f1a67a553bbe5&id=22
东森新闻,http://pull-hls-hs-spe-f5.douyincdn.com/live/twlivemhzttuzzcvbyzuozdzzezywefzzfbxfbxxvbzzzlzzhzsxw.flv
公视新闻,http://hls.666888999.gay/iptv.php?key=e2e840c0ea4abd8af71f1a67a553bbe5&id=34
华视,http://hls.666888999.gay/iptv.php?key=e2e840c0ea4abd8af71f1a67a553bbe5&id=39
华视新闻,http://hls.666888999.gay/iptv.php?key=e2e840c0ea4abd8af71f1a67a553bbe5&id=28
寰宇新闻,http://hls.666888999.gay/iptv.php?key=e2e840c0ea4abd8af71f1a67a553bbe5&id=24
寰宇新闻,http://hls.666888999.gay/iptv.php?key=e2e840c0ea4abd8af71f1a67a553bbe5&id=25
寰宇新闻,http://pull-hls-hs-spe-f5.douyincdn.com/live/twlivephxehmffzuxcxzvezezyhmnzzxzzhzdhnzbnxfdzfhyxw.flv
镜电视新闻,http://hls.666888999.gay/iptv.php?key=e2e840c0ea4abd8af71f1a67a553bbe5&id=32
民视,http://hls.666888999.gay/iptv.php?key=e2e840c0ea4abd8af71f1a67a553bbe5&id=36
民视新闻,http://hls.666888999.gay/iptv.php?key=e2e840c0ea4abd8af71f1a67a553bbe5&id=35
年代新闻,http://pull-hls-hs-spe-f5.douyincdn.com/live/twliveozevdyscvbudlozlnsfzewtzudvbbzxfznzlvczdzdnzxw.flv
三立iNEWS,http://hls.666888999.gay/iptv.php?key=e2e840c0ea4abd8af71f1a67a553bbe5&id=31
三立新闻,http://hls.666888999.gay/iptv.php?key=e2e840c0ea4abd8af71f1a67a553bbe5&id=30
台视,http://hls.666888999.gay/iptv.php?key=e2e840c0ea4abd8af71f1a67a553bbe5&id=37
台视新闻,http://hls.666888999.gay/iptv.php?key=e2e840c0ea4abd8af71f1a67a553bbe5&id=26
台视新闻,http://pull-hls-hs-spe-f5.douyincdn.com/live/twlivenczztzzudtzlzcvbcvntzzzsfwetzfvcbcxvdzbzfflvcztsxw.flv
中视,http://hls.666888999.gay/iptv.php?key=e2e840c0ea4abd8af71f1a67a553bbe5&id=38
中视新闻,http://hls.666888999.gay/iptv.php?key=e2e840c0ea4abd8af71f1a67a553bbe5&id=27
中视新闻,http://pull-hls-hs-spe-f5.douyincdn.com/live/twlivepnvzydstudzbszcvbfzzzszfzszwetymzldhduzocnzsxw.flv
中天新闻,http://hls.666888999.gay/iptv.php?key=e2e840c0ea4abd8af71f1a67a553bbe5&id=21
中天新闻,http://pull-hls-hs-spe-f5.douyincdn.com/live/twlivepzztvvzzzyzuuzzfvbscvzdztwzfszzszzzcvuyzemzeztxw.flv
中天亚洲,http://hls.666888999.gay/iptv.php?key=e2e840c0ea4abd8af71f1a67a553bbe5&id=42
HOY TV,http://hls.666888999.gay/iptv.php?key=e2e840c0ea4abd8af71f1a67a553bbe5&id=17
HOY资讯,http://hls.666888999.gay/iptv.php?key=e2e840c0ea4abd8af71f1a67a553bbe5&id=18
TVB财经体育资讯,http://hls.666888999.gay/iptv.php?key=e2e840c0ea4abd8af71f1a67a553bbe5&id=7
TVB翡翠,http://hls.666888999.gay/iptv.php?key=e2e840c0ea4abd8af71f1a67a553bbe5&id=8
TVB无线新闻,http://hls.666888999.gay/iptv.php?key=e2e840c0ea4abd8af71f1a67a553bbe5&id=6
TVB星河,http://hls.666888999.gay/iptv.php?key=e2e840c0ea4abd8af71f1a67a553bbe5&id=12
ViuTV,http://hls.666888999.gay/iptv.php?key=e2e840c0ea4abd8af71f1a67a553bbe5&id=13
澳亚卫视,https://live.mastvnet.com/lsdream/lY44pmm/2000/live.m3u8
凤凰卫视中文,http://hls.666888999.gay/iptv.php?key=e2e840c0ea4abd8af71f1a67a553bbe5&id=1
凤凰卫视资讯,http://hls.666888999.gay/iptv.php?key=e2e840c0ea4abd8af71f1a67a553bbe5&id=2
港电视31,http://hls.666888999.gay/iptv.php?key=e2e840c0ea4abd8af71f1a67a553bbe5&id=19
港电视32,http://hls.666888999.gay/iptv.php?key=e2e840c0ea4abd8af71f1a67a553bbe5&id=20
功夫,http://ali.hlspull.yximgs.com/live/AsiaActiont3a888221300-cfuu78258.flv
红爆米花,http://ali.hlspull.yximgs.com/live/nowbgggggt3a888221300-cfuu78258.flv
环球电视,http://zb.xzxwhcb.com:9999/hls/world.m3u8
黄爆米花,http://ali.hlspull.yximgs.com/live/nowxyot3a888221300-cfuu78258.flv
香港国际财经,http://hls.666888999.gay/iptv.php?key=e2e840c0ea4abd8af71f1a67a553bbe5&id=16
香港有线18,http://hls.666888999.gay/iptv.php?key=e2e840c0ea4abd8af71f1a67a553bbe5&id=4
香港有线新闻,http://hls.666888999.gay/iptv.php?key=e2e840c0ea4abd8af71f1a67a553bbe5&id=3
英超,http://ali.hlspull.yximgs.com/live/nowyct3a888221300-cfuu78258.flv

🌏,#genre#
2023春晚（解码[硬解]）,https://txmov2.a.kwimgs.com/bs3/video-hls/5251197255879398624_hlshd15.m3u8
环球电视台,http://zb.xzxwhcb.com:9999/hls/world.m3u8
欧洲华文电视台1,http://vvlive.eztv.vip/huawen1/huawen1.m3u8?auth_key=1661769627-0-0-3a16475ac0fa2a152a25661e8634fe39
欧洲华文电视台2,http://vvlive.eztv.vip/huawen2/huawen2.m3u8?auth_key=1661418936-0-0-bc9f000c6daa2def0b71d5389778b0d3
欧洲华文电视台6,http://vvlive.eztv.vip/huawen6/huawen6.m3u8?auth_key=1662611110-0-0-cf20c4fcf669736034b6ceac0d01d403
重温经典,http://cg12.hunancatv.cn:9090/live/CWJD.m3u8?t=Q3ZTI5YWVmMmUwM==&d=7e29aef2e03907f&pid=&cid=20&u=freeuser&l=001&sid=My5f5evM7A+JM7kBEt7zRg==&r=20240116195900&e=20240117195900&nc=5juVZbdBPOgB&a=7&v=2&hlsSessionID=7114844658832085543&srchost=172.16.22.158:8060&gid=1cTuE8i8Z%2F6MoBf3Sw1THw%3D%3D
凤凰中文,http://[2409:8087:2001:20:2800:0:df6e:eb22]/ott.mobaibox.com/PLTV/3/224/3221228527/index.m3u8
凤凰中文,http://r.jdshipin.com/nfIIg
凤凰中文,https://qist.cc/live/sc.php?id=fhws
凤凰资讯,http://[2409:8087:2001:20:2800:0:df6e:eb19]/ott.mobaibox.com/PLTV/3/224/3221228524/index.m3u8
凤凰资讯,http://r.jdshipin.com/lUz4U
凤凰资讯,https://qist.cc/live/sc.php?id=fhzx
凤凰香港,http://[2409:8087:2001:20:2800:0:df6e:eb23]:80/ott.mobaibox.com/PLTV/1/224/3221228530/1.m3u8
凤凰香港,http://r.jdshipin.com/H1ZOb
凤凰香港,http://r.jdshipin.com/X27gm
澳亚卫视,https://live.mastvnet.com/lsdream/lY44pmm/2000/live.m3u8
苏州4k,http://liveshowbak2.kan0512.com/ksz-norecord/csztv4k_4k.m3u8
北京纪实科教8K,http://111.31.106.140/downflv.brtvcloud.com/8klive/8kliveok.m3u8
1凤凰中文,http://[2409:8087:2001:20:2800:0:df6e:eb22]:80/ott.mobaibox.com/PLTV/3/224/3221228527/1.m3u8
1凤凰资讯,http://[2409:8087:2001:20:2800:0:df6e:eb19]:80/ott.mobaibox.com/PLTV/3/224/3221228524/1.m3u8
凤凰香港,http://[2409:8087:2001:20:2800:0:df6e:eb22]:80/ott.mobaibox.com/PLTV/1/224/3221228530/1.m3u8
凤凰香港,https://epg.pw/stream/5f16dc7fc8aaaed3205516c63e4a8c24bca9dbba1181684244729cf574505b0e.m3u8
凤凰香港,https://epg.pw/stream/8770e89223a086eb1b8a0c931e42296d772a8069ad3eb72540e0c434e7cb3e93.m3u8
凤凰香港,http://113.117.74.18:8081/hls/38/index.m3u8
凤凰中文广播,https://edge2.laotv.la/live/PhxChinese/sc-gaFECQ/a0_index.m3u8
凤凰资讯广播,https://edge2.laotv.la/live/PhoenixNews/sc-gaFECQ/a0_index.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
亚洲新闻,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8
半岛阿语,http://live-hls-web-aja.getaj.net/AJA/02.m3u8
半岛英语,https://live-hls-web-aje.getaj.net/AJE/02.m3u8
半岛英语,http://live-hls-web-aje.getaj.net/AJE/01.m3u8
半岛阿语,http://live-hls-web-aja.getaj.net/AJA/02.m3u8
俄罗斯中文,http://brics.bonus-tv.ru/cdn/brics/chinese/tracks-v1a1/index.m3u8
金砖汉语,http://brics.bonus-tv.ru/cdn/brics/chinese/tracks-v1a1/index.m3u8
金砖英语,https://engbrics.mediacdn.ru/cdn/brics/english/playlist.m3u8
金砖俄语,https://rusbrics.mediacdn.ru/cdn/brics/russian/playlist.m3u8
